TweetID,Source,Target
1333744349427822592,Whitebluess1,husnalathifah
1333736803036135426,YayasanPulih,rohjeongeuihyun
1333736803036135426,YayasanPulih,wahyuningseah
1333736803036135426,YayasanPulih,selaherself
1333736803036135426,YayasanPulih,magdaleneid
1333686278206889984,LenteraID,tukangcerita
1333676737897529347,magdaleneid,Andhys_1212
1333676737897529347,magdaleneid,johnpalitan
1333667041132232704,filsebat,riyadhputuhena
1333667041132232704,filsebat,fakhrurr_rozi
1333667041132232704,filsebat,KiwPerempuan
1333389420632764416,mubadalah_id,AyuRikza1
1333367837897879553,YayasanPulih,Bacotkiki
1333342505925009408,magdaleneid,enollaguy
1333342505925009408,magdaleneid,lyisblanc
1333342505925009408,magdaleneid,sipunglor
1333327918143918080,amnestyindo,nandafitsu
1333327918143918080,amnestyindo,ap_perdana
1333327918143918080,amnestyindo,ariestajonas
1333327918143918080,amnestyindo,penikmatsemua_
1333327918143918080,amnestyindo,RoisulUmam
1333327918143918080,amnestyindo,MarissaAnita
1333289659754016768,magdaleneid,pikazu911
1333289659754016768,magdaleneid,kidjangsatu
1333277109192597504,WPBergerak,zsazsana
1333277109192597504,WPBergerak,rifanidr
1333266541521956864,CakraWikara,Ifziw7
1333266541521956864,CakraWikara,TaufiqMarhaban
1333266541521956864,CakraWikara,gatauT_T
1333266541521956864,CakraWikara,KomnasPerempuan
1333266541521956864,CakraWikara,thirragnarik
1333266541521956864,CakraWikara,rymndgs
1333266541521956864,CakraWikara,DirgaArdiansa
1333266541521956864,CakraWikara,d_robby_an
1333236146789203968,mubadalah_id,rohjeongeuihyun
1333223980052844544,LenteraID,Arief_2792
1332967281547116544,KomnasPerempuan,nurdiyansah
1332967281547116544,KomnasPerempuan,welead_id
1332967281547116544,KomnasPerempuan,alipuyy
1332967281547116544,KomnasPerempuan,Bubuy25408792
1332967281547116544,KomnasPerempuan,mochiepayss
1332967281547116544,KomnasPerempuan,WPBergerak
1332967281547116544,KomnasPerempuan,KepinganNada
1332967281547116544,KomnasPerempuan,rohjeongeuihyun
1332967281547116544,KomnasPerempuan,ruwiti17
1332967281547116544,KomnasPerempuan,ejahrahaha
1332967281547116544,KomnasPerempuan,suhartininazer
1332967281547116544,KomnasPerempuan,callmeiput
1332967281547116544,KomnasPerempuan,stormy_waters00
1332967281547116544,KomnasPerempuan,MabniiDhommah
1332967281547116544,KomnasPerempuan,Keyzo1312
1332967281547116544,KomnasPerempuan,parasitlajang
